bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Thelionema grande,8301,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots?"
Kardomia odontocalyx,13291,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, ? wind"
Kardomia odontocalyx,13291,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Leionema ambiens,10724,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Leionema rotundifolium,10736,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Pultenaea foliolosa,2994,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ? ants"
Pultenaea foliolosa,2994,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Hibbertia spp.,HIBB,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ? ants"
Hibbertia spp.,HIBB,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Roystonea spp.,ROYS,Clarke Fulloon 1999,disp1,passive,NA,NA,NA,"dispersal, passive"
Roystonea spp.,ROYS,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Callitris endlicheri,2279,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Acacia buxifolia,3727,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Acacia granitica,3784,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Acacia terminalis,3885,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
Acacia venulosa,8865,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
