bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Microlaena stipoides,5037,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Microlaena stipoides,5037,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Tetrarrhena juncea,5217,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Tetrarrhena juncea,5217,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Poa sieberiana,5141,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Poa sieberiana,5141,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Poa tenera,5142,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Poa tenera,5142,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Acrotriche serrulata,2583,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Acrotriche serrulata,2583,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Astroloma humifusum,2584,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Astroloma humifusum,2584,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Bursaria spinosa,4674,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Bursaria spinosa,4674,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Coprosma quadrifida,5675,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Hibbertia riparia,2545,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Hibbertia riparia,2545,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Lissanthe strigosa,2642,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Lissanthe strigosa,2642,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Lomatia ilicifolia,5443,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Lomatia ilicifolia,5443,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Melaleuca squarrosa,4263,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Melaleuca squarrosa,4263,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Olearia argophylla,1580,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Olearia argophylla,1580,Wark 1997,repr3a,3,3,NA,NA,"First flowering, F3; Regeneration strategy, FRR",NA
Brunonia australis,1863,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Brunonia australis,1863,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Goodenia lanata,13799,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Goodenia lanata,13799,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Helichrysum leucopsideum,1494,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Helichrysum leucopsideum,1494,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Lagenifera stipitata,1551,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Lagenifera stipitata,1551,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Leptorhynchos squamatus,1557,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Leptorhynchos squamatus,1557,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Oxalis corniculata,4613,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Oxalis corniculata,4613,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Pelargonium australe,3157,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Pelargonium australe,3157,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Plantago varia,4705,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Plantago varia,4705,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Sonchus oleraceus,1690,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Sonchus oleraceus,1690,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Veronica calycina,6003,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Veronica calycina,6003,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Veronica derwentiana,14262,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Veronica derwentiana,14262,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Gahnia radula,2441,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Gahnia radula,2441,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, ORR",NA
Gahnia sieberiana,2442,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Gahnia sieberiana,2442,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, ORR",NA
Isolepis hystrix,2453,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Isolepis hystrix,2453,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
Isolepis marginata,2455,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Isolepis marginata,2455,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
Juncus pauciflorus,3339,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Juncus pauciflorus,3339,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, ORR",NA
