row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
97773,surv5,Papaver hybridum,4638,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97774,surv5,Parentucellia latifolia,5992,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97775,surv5,Parentucellia viscosa,5993,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97776,surv5,Parietaria debilis,6231,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97777,surv5,Patersonia glabrata,3301,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97778,surv5,Patersonia sericea,3303,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97779,surv5,Pelargonium australe,3157,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",<5}","{""Cell color index 12""}",NA,NA,5,NA
97780,surv5,Pelargonium helmsii,3160,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97781,surv5,Pelargonium inodorum,3161,NSWFFRDv2.1,"{""McMahon 1987""}","{""Life span"",short}","{""Cell color index 12""}",NA,NA,NA,NA
97782,surv5,Pellaea falcata,8444,NSWFFRDv2.1,NA,"{""Life span"",indefinite}",NA,NA,NA,NA,NA
97783,surv5,Pentachondra pumila,2650,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",25}","{""Cell color index 12""}",NA,25,NA,NA
