"dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentScientificNameCode","currentScientificName","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2009-01-15T12:55:49+11:00","1995-12-15T13:25:54+11:00",5498,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8179,3914,"Raphanus",5498,"spp.",NA,NA,5498,"RAPH","Raphanus spp.","<em>Raphanus spp.</em>",NA,NA,5498,"RAPH","Raphanus spp.",NA,"true",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:51:29.617+11:00","1995-12-15T13:25:55+11:00",5500,"Species",139,"Plantae",38,"Flora",137,"Flora",260,"Polypodiaceae",16299,3898,"Pyrrosia",5500,"spp.",NA,NA,5500,"PYRR","Pyrrosia spp.","<em>Pyrrosia spp.</em>",NA,NA,5500,"PYRR","Pyrrosia spp.",NA,"true",171,"Ferns and Cycads","Alive in NSW, Native","Fern and fern allies","Fern (EG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:49:27.237+11:00","1995-12-15T13:25:57+11:00",5506,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10433,2686,"Desmodium",5506,"spp.",NA,NA,5506,"DESM","Desmodium spp.","<em>Desmodium spp.</em>","Tick-trefoil",NA,5506,"DESM","Desmodium spp.","Tick-trefoil","true",NA,NA,"Alive in NSW, Native","Vine","Other (OG)","Forb; Shrub","Forb (FG); Shrub (SG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:50:11.677+11:00","1995-12-15T13:25:58+11:00",5508,"Species",139,"Plantae",38,"Flora",137,"Flora",180,"Boraginaceae",8010,3035,"Halgania",5508,"spp.",NA,NA,5508,"HALG","Halgania spp.","<em>Halgania spp.</em>",NA,NA,5508,"HALG","Halgania spp.",NA,"true",NA,NA,"Alive in NSW, Native","Shrub","Shrub (SG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2009-03-03T12:18:58+11:00","1995-12-15T13:25:59+11:00",5510,"Species",139,"Plantae",38,"Flora",137,"Flora",300,"Crassulaceae",9094,4062,"Sedum",5510,"spp.",NA,NA,5510,"SEDU","Sedum spp.","<em>Sedum spp.</em>",NA,NA,5510,"SEDU","Sedum spp.",NA,"true",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:50:48.287+11:00","1995-12-15T13:25:59+11:00",5511,"Species",139,"Plantae",38,"Flora",137,"Flora",174,"Chenopodiaceae",8748,3392,"Maireana",5511,"spp.",NA,NA,5511,"MAIR","Maireana spp.","<em>Maireana spp.</em>","Cotton Bush, Bluebush, Fissure-weed",NA,5511,"MAIR","Maireana spp.","Cotton Bush, Bluebush, Fissure-weed","true",NA,NA,"Alive in NSW, Native","Chenopod","Shrub (SG)","Forb","Forb (FG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:48:45.563+11:00","1995-12-15T13:25:59+11:00",5512,"Species",139,"Plantae",38,"Flora",137,"Flora",202,"Sapindaceae",17874,2183,"Atalaya",5512,"spp.",NA,NA,5512,"ATAL","Atalaya spp.","<em>Atalaya spp.</em>",NA,NA,5512,"ATAL","Atalaya spp.",NA,"true",NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:49:21.8+11:00","1995-12-15T13:26:01+11:00",5518,"Species",139,"Plantae",38,"Flora",137,"Flora",220,"Apocynaceae",6349,2636,"Cynanchum",5518,"spp.",NA,NA,5518,"CYNA","Cynanchum spp.","<em>Cynanchum spp.</em>",NA,NA,5518,"CYNA","Cynanchum spp.",NA,"true",NA,NA,"Alive in NSW, Native","Vine","Other (OG)","Shrub","Shrub (SG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:20:54.937+11:00","2000-08-24T09:00:25+10:00",5519,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",16042,3994,"Rytidosperma",13684,"pumilum",NA,"(Kirk) Linder",5519,"4985","Erythranthera pumila","<em>Erythranthera pumila</em>",NA,NA,13684,"10946","Rytidosperma pumilum","Feldmark Grass","false",174,"Herbs and Forbs","Alive in NSW, Native",NA,NA,NA,NA,"Vulnerable","false","Not Sensitive",10740,"Vulnerable",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:45:09.373+11:00","1995-12-15T13:47:03+11:00",5523,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13280,2862,"Eucalyptus",8971,"campanulata",NA,"R.T.Baker & H.G.Sm.",5523,"7796","Eucalyptus andrewsii subsp. campanulata","<em>Eucalyptus andrewsii </em>subsp.<em> campanulata</em>",NA,NA,8971,"8652","Eucalyptus campanulata","New England Blackbutt","false",NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
