trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Kunzea capitata,4207,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{"" Many plants killed by high intensity fire (1), some resprouting at 1 of 4 sites (105)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lambertia formosa,5440,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 0-12% (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Laxmannia gracilis,3556,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leionema ambiens,10724,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Leionema rotundifolium,10736,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Lepidosperma filiforme,2465,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lepidosperma forsythii,2467,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lepidosperma limicola,2469,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lepidosperma neesii,2471,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leptocarpus tenax,5534,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptocarpus tenax,5534,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leptocarpus tenax,5534,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptomeria acida,5865,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Some resprouting with low intensity fire (105)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum arachnoides,4213,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leptospermum grandifolium,7766,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leptospermum juniperinum,4221,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (85)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum juniperinum,4221,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (85)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leptospermum juniperinum,4221,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (85)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum liversidgei,4224,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum liversidgei,4224,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum novae-angliae,8478,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Killed by 100% scorch (95a)""}",All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Leptospermum polygalifolium subsp. polygalifolium,8197,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leptospermum polygalifolium subsp. polygalifolium,8197,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum polygalifolium subsp. polygalifolium,8197,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum semibaccatum,4236,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum semibaccatum,4236,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum trinervium,8486,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Some plants killed (1); Plant mortality 2%; Stem mortality 80% after high intensity fire, 28% after low intensity; Mortality may be increased by repeated burning (103)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum trinervium,8486,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Some plants killed (1); Plant mortality 2%; Stem mortality 80% after high intensity fire, 28% after low intensity; Mortality may be increased by repeated burning (103)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leptospermum trinervium,8486,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group V"",""Survives 100% scorch; resprouts from basal stem buds (eg lignotuber)"",""Overall value of fireresponse column is R""}","{""Some plants killed (1); Plant mortality 2%; Stem mortality 80% after high intensity fire, 28% after low intensity; Mortality may be increased by repeated burning (103)""}",All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Lepyrodia anarthria,5535,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lepyrodia scariosa,5541,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Leucopogon deformis,2615,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon ericoides,2616,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon lanceolatus var. gracilis,6845,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon leptospermoides,2625,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon leptospermoides,2625,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon melaleucoides,2628,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Leucopogon microphyllus,2629,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Leucopogon rodwayi,2636,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon virgatus,2639,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Leucopogon virgatus,2639,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Lomandra cylindrica,6298,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 13-37% (57); Post-fire abundance increase (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lomandra elongata,6301,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Lomandra elongata,6301,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Lomandra filiformis,6302,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 11-38% (57); Post-fire abundance increase (P)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Lomandra filiformis subsp. coriacea,6511,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lomandra filiformis subsp. filiformis,7931,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lomandra longifolia,6308,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}","{""Mortality 20-27% (99); Post-fire abundance increase (P)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Lomandra obliqua,6312,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Mortality 0-41% (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lomatia silaifolia,5445,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Lomatia silaifolia,5445,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Lycopodiella lateralis,9293,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Macarthuria neocambrica,3907,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}","{""Fire ephemeral (6)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca linariifolia,4257,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Melaleuca nodosa,4258,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca nodosa,4258,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca quinquenervia,4260,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Killed by crown fire, resprouts after partail burn (96)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca quinquenervia,4260,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Killed by crown fire, resprouts after partail burn (96)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca sieberi,4261,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca sieberi,4261,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca squamea,4262,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 1"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca squarrosa,4263,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Melaleuca thymifolia,4266,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Stems killed (1)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Melaleuca thymifolia,4266,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Stems killed (1)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Melichrus erubescens,2644,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Microlaena stipoides var. stipoides,7707,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67), Mortality 20-71% (57); Post-fire abundance increase (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Mirbelia pungens,2937,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Mirbelia rubiifolia,2938,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Mirbelia speciosa subsp. speciosa,7736,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Keith 1991,surv1 logic
surv1,Mitrasacme polymorpha,3595,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Mitrasacme polymorpha,3595,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Mitrasacme polymorpha,3595,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Mitrasacme polymorpha,3595,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Monotaxis linifolia,2738,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Monotoca elliptica,2647,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Most of population killed, a few resprouted after high intensity (1), Variable (39); Post-fire abundance decrease (57)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Monotoca scoparia,2649,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Few individuals recorded by (VE), Variable (39), Mortality 4% when burnt, 4% when burnt and grazed (99)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Monotoca scoparia,2649,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Few individuals recorded by (VE), Variable (39), Mortality 4% when burnt, 4% when burnt and grazed (99)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Ochrosperma citriodorum,6949,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Ochrosperma lineare,6474,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Olax retusa,4307,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Olax retusa,4307,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Olax stricta,6407,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Olearia gravis,1595,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Seedlings killed (69)""}",All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Orthoceras strictum,4476,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Panicum simile,5066,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Panicum simile,5066,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Patersonia fragilis,3300,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Patersonia fragilis,3300,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Patersonia fragilis,3300,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Patersonia glabrata,3301,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Patersonia glabrata,3301,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Patersonia sericea,3303,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Patersonia sericea,3303,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Patersonia sericea,3303,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Persoonia cornifolia,5455,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Persoonia levis,5462,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Persoonia tenuifolia,5475,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Persoonia terminalis subsp. terminalis,9048,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Persoonia virgata,5476,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Petrophile canescens,5477,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Petrophile canescens,5477,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Petrophile canescens,5477,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Petrophile pulchella,5479,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Petrophile pulchella,5479,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Phebalium glandulosum subsp. eglandulosum,9419,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Philotheca buxifolia,10577,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Philotheca epilosa,12004,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
