trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Brachyloma saxicola,9295,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{Fireresponse,Sr,""Overall value of fireresponse column is Sr""}",NA,Few,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Brunoniella pumilio,1004,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 27-38% (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Burchardia umbellata,3533,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Burchardia umbellata,3533,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Caesia parviflora,3535,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Caesia parviflora,3535,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Caladenia carnea,4373,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Post-fire abundance decrease (P)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Caleana major,4389,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Caleana major,4389,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Callistemon citrinus,4004,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Callistemon pachyphyllus,4010,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Callistemon pungens,9126,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Callistemon sp. aff. flavovirens,14189,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group V"",""Survives 100% scorch; resprouts from basal stem buds (eg lignotuber)"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Calochlaena dubia,8341,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Calytrix tetragona,4021,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Calytrix tetragona,4021,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
