"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Dillwynia rudis","7950","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Gompholobium glabratum","2864","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Gompholobium grandiflorum","2865","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Gompholobium latifolium","2866","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Gompholobium virgatum","2870","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hardenbergia violacea","2873","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hovea linearis","2876","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Mirbelia rubiifolia","2938","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Phyllota phylicoides","2958","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Platylobium formosum","2961","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Grevillea buxifolia","5364","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Grevillea sericea","5399","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Pomaderris aspera","5571","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Boronia fraseri","5741","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Boronia ledifolia","5744","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Boronia parviflora","5749","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Boronia pinnata","5750","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Boronia serrulata","5759","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Crowea saligna","5775","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
