bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Leptocarpus tenax,5534,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Lepyrodia anarthria,5535,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Lepyrodia anarthria,5535,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lepyrodia scariosa,5541,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Lepyrodia scariosa,5541,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Leucopogon esquamatus,2617,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Leucopogon esquamatus,2617,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Leucopogon esquamatus,2617,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leucopogon microphyllus,2629,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Leucopogon microphyllus,2629,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Leucopogon microphyllus,2629,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Lindsaea linearis,6406,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Lindsaea linearis,6406,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Lomandra cylindrica,6298,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Lomandra cylindrica,6298,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lomandra obliqua,6312,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Lomandra obliqua,6312,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lomatia silaifolia,5445,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Lomatia silaifolia,5445,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Melaleuca linariifolia,4257,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Melaleuca linariifolia,4257,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Melaleuca squamea,4262,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Melaleuca squamea,4262,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Melaleuca squamea,4262,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Melaleuca squarrosa,4263,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Melaleuca squarrosa,4263,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Melaleuca thymifolia,4266,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Melaleuca thymifolia,4266,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Microlaena stipoides var. stipoides,7707,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Mirbelia rubiifolia,2938,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Mirbelia rubiifolia,2938,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Mirbelia rubiifolia,2938,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Mirbelia speciosa,2939,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Mirbelia speciosa,2939,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Mirbelia speciosa,2939,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Mitrasacme paludosa,3592,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Mitrasacme paludosa,3592,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Mitrasacme paludosa,3592,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Mitrasacme polymorpha,3595,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Mitrasacme polymorpha,3595,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Monotaxis linifolia,2738,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Opercularia varia,5701,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Opercularia varia,5701,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Opercularia varia,5701,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Orthoceras strictum,4476,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Orthoceras strictum,4476,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Persoonia lanceolata,5460,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Persoonia lanceolata,5460,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Persoonia lanceolata,5460,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Persoonia levis,5462,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Persoonia levis,5462,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Persoonia pinifolia,5469,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Persoonia pinifolia,5469,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Persoonia pinifolia,5469,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Petrophile pulchella,5479,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Petrophile pulchella,5479,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Petrophile pulchella,5479,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Phragmites australis,5113,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Plinthanthesis paradoxa,5117,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Prasophyllum australe,4491,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Prasophyllum australe,4491,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Prasophyllum brevilabre,4494,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Prasophyllum brevilabre,4494,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Prostanthera linearis,3417,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Prostanthera linearis,3417,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Pseudanthus orientalis,2756,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Pseudanthus orientalis,2756,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Pteridium esculentum,6403,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Pteridium esculentum,6403,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Pterostylis parviflora,4566,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Pterostylis parviflora,4566,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Pultenaea aristata,2974,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Pultenaea aristata,2974,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Pultenaea aristata,2974,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Pultenaea divaricata,2987,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Pultenaea divaricata,2987,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Schizaea bifida,8181,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Schizaea bifida,8181,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Schoenus ericetorum,2495,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Schoenus maschalinus,2499,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Schoenus paludosus,2504,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Selaginella uliginosa,8187,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Selaginella uliginosa,8187,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Sowerbaea juncea,3567,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Sowerbaea juncea,3567,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Sprengelia incarnata,2654,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Sprengelia incarnata,2654,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Sprengelia incarnata,2654,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Stackhousia nuda,6122,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Stackhousia nuda,6122,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Stylidium lineare,6159,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Stylidium lineare,6159,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Symphionema paludosum,5485,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Symphionema paludosum,5485,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Symphionema paludosum,5485,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Tetraria capillaris,2516,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Tetrarrhena turfosa,7993,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Thelionema caespitosum,7664,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Thelionema umbellatum,6461,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
