"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Acacia venulosa","8865","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Homoranthus lunatus","9034","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Persoonia terminalis subsp. terminalis","9048","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Allocasuarina brachystachya","9090","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Callistemon pungens","9126","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Acacia buxifolia subsp. pubiflora","9282","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Brachyloma saxicola","9295","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Prostanthera nivea var. nivea","9380","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Phebalium glandulosum subsp. eglandulosum","9419","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Hakea macrorrhyncha","9602","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Amperea xiphoclada var. xiphoclada","9713","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Baeckea omissa","9836","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Podolobium ilicifolium","9912","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Ozothamnus obcordatus","9999","Clarke Knox 2002","surv1","Half",NA,NA,NA,"Fire response, Obligate seeder / Fire response, Resprouts",NA
"Callistemon spp.","CALL","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Dodonaea spp.","DODO","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia spp.","HIBB","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Olearia spp.","OLEA","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Podolobium spp.","PODL","Clarke Knox 2002","surv1","Few",NA,NA,NA,"Fire response, Obligate seeder (75%)",NA
